标准音：D4^5 = 220*2^(65/164) Hz ≈ 289.56 Hz

格子图（低音）	格子图（和弦）	和弦图（低音）	和弦图（和弦）	注释
(2, 0, 0, -1)	{(1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
(3, 0, 0, -1)	{(2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
(1, 0, 0, -1)	{(0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1)}
(0, 0, 0, -1)	{(0, 0, 0, -1), (0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1)}
(-2, 0, 0, 0)	{(-3, 0, 0, 1), (-2, 0, 0, 0), (-1, 0, 0, 0), (0, 0, 0, 0)}
(0, 0, 0, -1)	{(-1, 0, 0, 0), (0, 0, 0, -1), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1)}
(2, 0, 0, -1)	{(1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
(-2, 0, 0, 0)	{(-3, 0, 0, 1), (-2, 0, 0, 0), (-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0)}
(0, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1)}
(1, 0, 0, -1)	{(1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
(3, 0, 0, -1)	{(2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
(4, 0, 0, -1)	{(0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
(2, 0, 0, -1)	{(0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1)}
(0, 0, 0, -1)	{(0, 0, 0, -1), (0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
(-1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0)}
(1, 0, 0, 0)	{(-2, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}
(2, 0, 0, -1)	{(1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
(1, 0, 0, -1)	{(1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
(-1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (-1, 0, 0, 1), (1, 0, 0, 0)}
(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
(2, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	9	(1/9, 1/3, 1)
(-1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/3	(1, 3, 11/3, 9)
(-3, 0, 0, 1)	{(-4, 0, 0, 2), (-3, 0, 0, 1), (-3, 0, 0, 2), (-1, 0, 0, 1)}	11/27	(1, 11/3, 9, 11)
(-4, 0, 0, 1)	{(-5, 0, 0, 2), (-4, 0, 0, 1), (-3, 0, 0, 1), (-2, 0, 0, 1), (-1, 0, 0, 1)}	11/81	(1, 3, 11/3, 9, 27)
(-2, 0, 0, 0)	{(-2, 0, 0, 0), (-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/9	(1, 3, 9, 11, 27)
(-1, 0, 0, 0)	{(-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1/3	(1, 3, 9, 27)
(1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	3	(1/9, 1/3, 11/27, 1)
(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
(2, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	9	(1/9, 1/3, 1)
(1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0), (3, 0, 0, 0)}	3	(1/9, 1/3, 11/27, 1, 9)
(-3, 0, 0, 1)	{(-3, 0, 0, 1), (-3, 0, 0, 2), (-2, 0, 0, 1), (-1, 0, 0, 1), (0, 0, 0, 1)}	11/27	(1, 3, 9, 11, 27)
(-3, 0, 0, 1)	{(-4, 0, 0, 2), (-3, 0, 0, 1), (-2, 0, 0, 1), (-1, 0, 0, 1)}	11/27	(1, 3, 11/3, 9)
(-2, 0, 0, 1)	{(-4, 0, 0, 2), (-3, 0, 0, 1), (-2, 0, 0, 1), (-1, 0, 0, 1)}	11/9	(1/3, 1, 11/9, 3)
(-4, 0, 0, 1)	{(-5, 0, 0, 2), (-4, 0, 0, 1), (-3, 0, 0, 1), (-2, 0, 0, 1)}	11/81	(1, 3, 11/3, 9)
